# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 13 Apr 2026 03:01:08 +0200
#
# IP	number of (black)lists
#
92.118.39.76	5
92.118.39.95	5
92.154.95.236	5
93.93.205.119	5
94.102.49.155	5
94.231.206.13	5
94.231.206.128	5
94.231.206.134	5
94.231.206.248	5
95.85.245.170	5
95.215.0.144	5
100.55.74.138	5
101.36.113.241	5
101.36.117.42	5
101.47.13.68	5
101.47.19.10	5
101.47.159.50	5
101.126.88.251	5
102.88.137.213	5
103.10.85.58	5
103.25.208.43	5
103.48.192.48	5
103.62.152.202	5
103.72.147.77	5
103.76.120.225	5
103.113.105.228	5
103.115.41.16	5
103.143.11.229	5
103.146.23.145	5
103.146.202.174	5
103.161.170.12	5
103.168.135.187	5
103.171.85.115	5
103.173.154.45	5
103.182.132.154	5
103.190.92.210	5
103.191.14.210	5
103.195.239.8	5
103.200.25.198	5
103.218.241.7	5
103.228.36.205	5
103.231.14.54	5
103.233.206.154	5
103.237.144.204	5
103.249.84.242	5
104.37.191.3	5
104.152.52.103	5
104.168.56.24	5
104.236.83.40	5
104.243.35.94	5
104.248.254.23	5
106.38.205.224	5
106.92.205.206	5
106.252.57.21	5
107.20.105.127	5
107.152.39.17	5
107.155.48.46	5
107.175.34.74	5
109.105.209.13	5
109.105.209.34	5
109.105.210.58	5
109.105.210.59	5
109.105.210.67	5
110.35.80.116	5
112.118.57.75	5
113.45.33.31	5
113.193.234.210	5
114.111.19.3	5
114.219.157.97	5
115.95.66.173	5
115.160.79.71	5
116.114.94.242	5
116.120.97.12	5
117.62.205.231	5
117.207.212.77	5
118.26.36.195	5
118.26.37.105	5
118.70.178.158	5
118.122.147.195	5
118.127.40.41	5
118.186.7.9	5
118.193.33.128	5
118.193.33.130	5
118.193.35.202	5
118.193.36.107	5
118.193.36.205	5
118.193.43.158	5
118.193.47.114	5
118.193.57.59	5
118.193.61.170	5
118.194.235.105	5
118.194.251.58	5
118.194.251.101	5
118.196.34.237	5
119.96.173.169	5
119.96.174.235	5
119.145.34.60	5
119.205.179.217	5
120.48.20.114	5
120.62.8.17	5
120.133.52.228	5
120.230.142.96	5
121.128.199.222	5
121.142.87.218	5
121.146.70.26	5
121.165.84.80	5
121.165.204.105	5
121.179.93.147	5
121.186.151.123	5
121.224.115.232	5
122.176.122.24	5
122.177.244.254	5
123.58.213.20	5
123.58.215.102	5
123.253.35.182	5
123.253.162.254	5
124.163.255.210	5
125.21.59.218	5
125.88.225.11	5
125.141.84.135	5
128.1.38.169	5
128.1.44.38	5
128.14.239.39	5
128.140.59.195	5
128.199.82.37	5
128.203.201.155	5
128.203.202.233	5
128.203.202.236	5
129.121.84.193	5
129.153.121.56	5
130.12.180.52	5
130.51.21.20	5
130.250.191.201	5
134.122.91.88	5
134.209.238.61	5
135.119.16.163	5
135.119.16.170	5
135.119.112.78	5
135.237.125.132	5
135.237.125.155	5
135.237.125.156	5
135.237.125.174	5
135.237.125.195	5
135.237.126.135	5
